conceptos;recuento;porcentaje
Economía;221;14.1
OrdenPúblico;25;1.6
Democracia;460;29.3
Cultura;92;5.9
DerechosBásicos;235;14.9
MedioAmbiente;43;2.7
Minorías;496;31.6
